Row #,Taxon Order,Category,Common Name,Scientific Name,Count,Location,S/P,Date,LocID,SubID,Exotic,Countable
54,16501,species,Eastern Wood-Pewee,Contopus virens,3,York River State Park,US-VA,05 May 2023,L718829,S136221659,,1
55,7356,species,Little Blue Heron,Egretta caerulea,1,York River State Park,US-VA,05 May 2023,L718829,S136221659,,1
56,33451,species,Black-throated Blue Warbler,Setophaga caerulescens,1,Greensprings Interpretive Trail,US-VA,04 May 2023,L280466,S136411668,,1
57,33378,species,American Redstart,Setophaga ruticilla,1,Greensprings Interpretive Trail,US-VA,04 May 2023,L280466,S136411668,,1
58,8214,species,Broad-winged Hawk,Buteo platypterus,1,Greensprings Interpretive Trail,US-VA,04 May 2023,L280466,S136411668,,1
59,468,species,Gadwall,Mareca strepera,1,Greensprings Interpretive Trail,US-VA,04 May 2023,L280466,S136411668,,1
60,32892,species,Bobolink,Dolichonyx oryzivorus,3,Mainland Farm/Drummond's Field,US-VA,04 May 2023,L2830270,S136051553,,1
61,32268,species,Grasshopper Sparrow,Ammodramus savannarum,1,Mainland Farm/Drummond's Field,US-VA,04 May 2023,L2830270,S136051553,,1
62,6040,species,Pectoral Sandpiper,Calidris melanotos,1,Mainland Farm/Drummond's Field,US-VA,03 May 2023,L2830270,S136411714,,1
63,7474,species,White Ibis,Eudocimus albus,2,VA-ISS-16,US-VA,02 May 2023,L3095855,S137170586,,1
64,7370,species,Cattle Egret,Bubulcus ibis,1,Muddy Creek/Shipps Cabin Fields (view from road only),US-VA,02 May 2023,L7787405,S135878507,,1
65,6116,species,Spotted Sandpiper,Actitis macularius,1,Muddy Creek/Shipps Cabin Fields (view from road only),US-VA,02 May 2023,L7787405,S135878507,,1
66,6043,species,Semipalmated Sandpiper,Calidris pusilla,8,Muddy Creek/Shipps Cabin Fields (view from road only),US-VA,02 May 2023,L7787405,S135878507,,1
67,6036,species,White-rumped Sandpiper,Calidris fuscicollis,2,Muddy Creek/Shipps Cabin Fields (view from road only),US-VA,02 May 2023,L7787405,S135878507,,1
68,6001,species,Stilt Sandpiper,Calidris himantopus,1,Muddy Creek/Shipps Cabin Fields (view from road only),US-VA,02 May 2023,L7787405,S135878507,,1
69,5843,species,Semipalmated Plover,Charadrius semipalmatus,12,Muddy Creek/Shipps Cabin Fields (view from road only),US-VA,02 May 2023,L7787405,S135878507,,1
70,5626,species,Sandhill Crane,Antigone canadensis,2,Muddy Creek/Shipps Cabin Fields (view from road only),US-VA,02 May 2023,L7787405,S135878507,,1
71,27730,species,Swainson's Thrush,Catharus ustulatus,1,Tidewater Arboretum (Virginia Tech Display Gardens),US-VA,02 May 2023,L9397150,S137170606,,1
72,6119,species,Solitary Sandpiper,Tringa solitaria,2,Tidewater Arboretum (Virginia Tech Display Gardens),US-VA,02 May 2023,L9397150,S137170606,,1
73,32321,species,Clay-colored Sparrow,Spizella pallida,1,College Landing Park,US-VA,01 May 2023,L571218,S135938432,,1
74,6035,species,Least Sandpiper,Calidris minutilla,3,Messick Point,US-VA,29 Apr 2023,L2153527,S137170614,,1
75,33404,species,Yellow Warbler,Setophaga petechia,1,Thomas Jefferson Rollins Nature Area,US-VA,29 Apr 2023,L2310674,S135451564,,1
76,32547,species,Seaside Sparrow,Ammospiza maritima,1,Thomas Jefferson Rollins Nature Area,US-VA,29 Apr 2023,L2310674,S135451564,,1
77,5931,species,Whimbrel,Numenius phaeopus,2,Thomas Jefferson Rollins Nature Area,US-VA,29 Apr 2023,L2310674,S135451564,,1
78,33853,species,Rose-breasted Grosbeak,Pheucticus ludovicianus,1,York River State Park,US-VA,26 Apr 2023,L718829,S135148816,,1
79,33733,species,Scarlet Tanager,Piranga olivacea,1,York River State Park,US-VA,26 Apr 2023,L718829,S135148816,,1
80,27719,species,Veery,Catharus fuscescens,1,York River State Park,US-VA,26 Apr 2023,L718829,S135148816,,1
81,18752,species,Yellow-throated Vireo,Vireo flavifrons,1,York River State Park,US-VA,26 Apr 2023,L718829,S135148816,,1
82,33904,species,Indigo Bunting,Passerina cyanea,1,Jamestown Beach Event Park,US-VA,25 Apr 2023,L4665222,S135148828,,1
83,26614,species,House Wren,Troglodytes aedon,1,Jamestown Glasshouse,US-VA,25 Apr 2023,L10298734,S135148829,,1
84,33286,species,Prothonotary Warbler,Protonotaria citrea,3,Powhatan Creek Park,US-VA,25 Apr 2023,L721872,S136411734,,1
85,33273,species,Worm-eating Warbler,Helmitheros vermivorum,1,Powhatan Creek Park,US-VA,25 Apr 2023,L721872,S136411734,,1
86,464,species,Northern Shoveler,Spatula clypeata,1,Messick Point,US-VA,24 Apr 2023,L2153527,S137170625,,1
87,6569,species,Least Tern,Sternula antillarum,1,Thomas Jefferson Rollins Nature Area,US-VA,24 Apr 2023,L2310674,S137170644,,1
88,23564,species,Bank Swallow,Riparia riparia,1,Lions Bridge,US-VA,24 Apr 2023,L9347571,S137170655,,1
89,6368,species,Bonaparte's Gull,Chroicocephalus philadelphia,1,York River State Park,US-VA,23 Apr 2023,L718829,S136443310,,1
90,33729,species,Summer Tanager,Piranga rubra,1,New Quarter Park,US-VA,22 Apr 2023,L286165,S135285454,,1
91,27753,species,Wood Thrush,Hylocichla mustelina,1,My yard (private property),US-VA,21 Apr 2023,L11474010,S134444050,,1
92,33377,species,Hooded Warbler,Setophaga citrina,1,My yard (private property),US-VA,20 Apr 2023,L11474010,S134377227,,1
93,11697,species,American Kestrel,Falco sparverius,1,Colonial Parkway--College Creek,US-VA,20 Apr 2023,L654983,S134476084,,1
94,33003,species,Orchard Oriole,Icterus spurius,1,Jamestown Island--Causeway,US-VA,19 Apr 2023,L3565466,S134324570,,1
95,6598,species,Caspian Tern,Hydroprogne caspia,18,Jamestown Island--Causeway,US-VA,19 Apr 2023,L3565466,S134324570,,1
97,33380,species,Cape May Warbler,Setophaga tigrina,1,"Colonial National Historical Parkway, Williamsburg, Virginia, US (37.211, -76.774)",US-VA,19 Apr 2023,L24096789,S136395998,,1
98,33091,species,Baltimore Oriole,Icterus galbula,1,"Colonial National Historical Parkway, Williamsburg, Virginia, US (37.211, -76.774)",US-VA,19 Apr 2023,L24096789,S136395998,,1
99,27413,species,Gray Catbird,Dumetella carolinensis,1,"Colonial National Historical Parkway, Williamsburg, Virginia, US (37.211, -76.774)",US-VA,19 Apr 2023,L24096789,S136395998,,1
100,11731,species,Merlin,Falco columbarius,1,"Colonial National Historical Parkway, Williamsburg, Virginia, US (37.211, -76.774)",US-VA,19 Apr 2023,L24096789,S136395998,,1
101,18758,species,Blue-headed Vireo,Vireo solitarius,1,My yard (private property),US-VA,17 Apr 2023,L11474010,S134088071,,1
102,1207,species,Wild Turkey,Meleagris gallopavo,1,My yard (private property),US-VA,16 Apr 2023,L11474010,S136444306,,1
103,33895,species,Blue Grosbeak,Passerina caerulea,1,Newport News Park,US-VA,15 Apr 2023,L718631,S133859786,,1
104,33490,species,Prairie Warbler,Setophaga discolor,1,Newport News Park,US-VA,15 Apr 2023,L718631,S133859786,,1
105,32639,species,Swamp Sparrow,Melospiza georgiana,4,Newport News Park,US-VA,15 Apr 2023,L718631,S133859786,,1
106,18795,species,Red-eyed Vireo,Vireo olivaceus,1,Newport News Park,US-VA,15 Apr 2023,L718631,S133859786,,1
107,17042,species,Eastern Kingbird,Tyrannus tyrannus,1,Newport News Park,US-VA,15 Apr 2023,L718631,S133859786,,1
108,16907,species,Great Crested Flycatcher,Myiarchus crinitus,2,Newport News Park,US-VA,15 Apr 2023,L718631,S133859786,,1
109,10834,species,Red-headed Woodpecker,Melanerpes erythrocephalus,2,Newport News Park,US-VA,15 Apr 2023,L718631,S133859786,,1
111,33519,species,Black-throated Green Warbler,Setophaga virens,1,My yard (private property),US-VA,13 Apr 2023,L11474010,S135651100,,1
112,7130,species,Anhinga,Anhinga anhinga,1,Lions Bridge,US-VA,12 Apr 2023,L9347571,S133553712,,1
113,8233,species,Red-tailed Hawk,Buteo jamaicensis,1,"10495 Virginia 3, Gloucester, Virginia, US (37.465, -76.447)",US-VA,12 Apr 2023,L23556176,S133554002,,1
114,23509,species,Purple Martin,Progne subis,2,New Point Wharf,US-VA,12 Apr 2023,L718625,S133574360,,1
115,33285,species,Black-and-white Warbler,Mniotilta varia,1,"3066 Bethel Beach Road, Onemo, Virginia, US (37.384, -76.29)",US-VA,12 Apr 2023,L23549185,S133517180,,1
116,31662,species,Purple Finch,Haemorhous purpureus,1,"Bashi Shores Drive, Mathews, Virginia, US (37.413, -76.253)",US-VA,12 Apr 2023,L23559832,S133574391,,1
117,26376,species,Brown-headed Nuthatch,Sitta pusilla,1,"Bashi Shores Drive, Mathews, Virginia, US (37.413, -76.253)",US-VA,12 Apr 2023,L23559832,S133574391,,1
119,5737,species,Black-bellied Plover,Pluvialis squatarola,4,Bethel Beach Natural Area Preserve,US-VA,12 Apr 2023,L271098,S133574624,,1
120,5725,species,American Oystercatcher,Haematopus palliatus,1,Bethel Beach Natural Area Preserve,US-VA,12 Apr 2023,L271098,S133574624,,1
121,6130,species,Willet,Tringa semipalmata,1,Bethel Beach Natural Area Preserve,US-VA,12 Apr 2023,L271098,S133593993,,1
122,5191,species,Clapper Rail,Rallus crepitans,2,Bethel Beach Natural Area Preserve,US-VA,12 Apr 2023,L271098,S133593993,,1
123,33458,species,Palm Warbler,Setophaga palmarum,3,York River State Park,US-VA,11 Apr 2023,L718829,S133471838,,1
